ID,Make,Model,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Max Power,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity
1541,Audi,Q3 35 TDI Premium + Sunroof,2015,71700,Diesel,Automatic,Navi Mumbai,White,Second,Individual,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD,4385.0,1831.0,1608.0,5.0,64.0
908,Mahindra,Scorpio S11 2WD 7 STR,2018,120000,Diesel,Manual,Ranchi,Black,Second,Individual,2179 cc,140 bhp @ 3750 rpm,320 Nm @ 1500 rpm,RWD,4456.0,1820.0,1995.0,7.0,60.0
70,Toyota,Corolla Altis G AT Petrol,2015,39780,Petrol,Automatic,Mumbai,White,First,Individual,1798 cc,138 bhp @ 6400 rpm,173 Nm @ 4000 rpm,FWD,4620.0,1775.0,1475.0,5.0,55.0
1716,Renault,Kwid 1.0 RXL [2017-2019],2019,32000,Petrol,Manual,Mumbai,Brown,First,Individual,999 cc,67 bhp @ 5500 rpm,91 Nm @ 4250 rpm,FWD,3679.0,1579.0,1478.0,5.0,28.0
1131,Renault,Duster 110 PS RXZ 4X2 AMT Diesel,2016,35000,Diesel,Automatic,Delhi,Grey,Second,Individual,1461 cc,108 bhp @ 3900 rpm,248 Nm @ 2250 rpm,FWD,4315.0,1822.0,1695.0,5.0,50.0
930,Maruti Suzuki,Alto VXi (O) [2014-2019],2011,72000,Petrol,Manual,Kanpur,Silver,First,Individual,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3545.0,1490.0,1475.0,5.0,35.0
800,Mercedes-Benz,GLC 200 Progressive,2021,16785,Petrol,Automatic,Bangalore,White,First,Individual,1991 cc,194 bhp @ 5500 rpm,320 Nm @ 1650 rpm,RWD,4658.0,1890.0,1644.0,5.0,66.0
166,Toyota,Fortuner 2.8 4x2 MT [2016-2020],2018,173000,Diesel,Manual,Bangalore,White,First,Individual,2755 cc,174 bhp @ 3400 rpm,420 Nm @ 1600 rpm,RWD,4795.0,1855.0,1835.0,7.0,80.0
61,Honda,Amaze 1.2 VX AT i-VTEC,2014,50000,Petrol,Automatic,Mumbai,White,First,Individual,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,3990.0,1680.0,1505.0,5.0,35.0
1399,Hyundai,i10 Asta 1.2 AT Kappa2 with Sunroof,2013,57000,Petrol,Automatic,Kanpur,White,First,Individual,1197 cc,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,FWD,3585.0,1595.0,1550.0,5.0,35.0
943,Hyundai,Creta 1.6 SX Plus AT Petrol,2018,33500,Petrol,Automatic,Mumbai,White,First,Individual,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0
847,Audi,Q3 35 TDI Technology,2016,95401,Diesel,Automatic,Bangalore,Black,First,Individual,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD,4385.0,1831.0,1608.0,5.0,64.0
883,Hyundai,Creta SX Plus 1.6 AT CRDI,2017,66602,Diesel,Automatic,Mumbai,Grey,First,Individual,1582 cc,126 bhp @ 4000 rpm,265 Nm @ 1900 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0
1572,Mercedes-Benz,GLE 350 d,2018,28000,Diesel,Automatic,Delhi,White,First,Individual,2987 cc,255 bhp @ 3400 rpm,620 Nm @ 1600 rpm,AWD,4819.0,2141.0,1796.0,5.0,93.0
65,Hyundai,Eon Era +,2018,70000,Petrol,Manual,Kheda,White,First,Individual,814 cc,55 bhp @ 5500 rpm,75 Nm @ 4000 rpm,FWD,3495.0,1550.0,1500.0,5.0,32.0
748,Maruti Suzuki,Swift VXi [2014-2017],2018,50000,Petrol,Manual,Meerut,White,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
1647,Hyundai,Venue SX 1.0 Turbo iMT,2020,23000,Petrol,Manual,Haldwani,Brown,First,Individual,998 cc,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,FWD,3995.0,1770.0,1605.0,5.0,45.0
1470,Lexus,ES 300h Exquisite [2020-2021],2020,27000,Hybrid,Automatic,Mumbai,Blue,First,Individual,2487 cc,176 bhp @ 5700 rpm,221 Nm @ 3600 rpm,FWD,4975.0,1865.0,1445.0,5.0,50.0
1133,Mercedes-Benz,C-Class C 220 CDI Avantgarde,2017,70000,Diesel,Automatic,Pune,Brown,Second,Individual,2143 cc,168 bhp @ 3000 rpm,400 Nm @ 1400 rpm,RWD,4686.0,1810.0,1442.0,5.0,66.0
717,Maruti Suzuki,Wagon R LXi Minor,2009,39586,Petrol,Manual,Ranchi,Red,First,Individual,1061 cc,67@6200,84@3500,FWD,3520.0,1475.0,1690.0,5.0,35.0
1253,Hyundai,Verna SX Plus 1.6 CRDi AT,2017,80000,Diesel,Automatic,Bangalore,Silver,First,Individual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1500 rpm,FWD,4440.0,1729.0,1475.0,5.0,45.0
1527,Hyundai,Creta 1.6 SX Plus AT Petrol,2016,37079,Petrol,Automatic,Thane,Red,First,Individual,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0
642,Hyundai,Creta SX (O) 1.5 Diesel Automatic,2022,5800,Diesel,Automatic,Surat,White,First,Individual,1493 cc,113 bhp @ 4000 rpm,250 Nm @ 1500 rpm,FWD,4300.0,1790.0,1635.0,5.0,50.0
1167,Toyota,Innova 2.4 VX 8 STR [2016-2020],2018,35123,Diesel,Manual,Patna,White,First,Individual,2393 cc,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,RWD,4735.0,1830.0,1795.0,8.0,55.0
1661,Audi,Q3 35 TDI quattro Premium Plus,2017,36000,Diesel,Automatic,Delhi,Blue,First,Individual,1968 cc,184 bhp @ 3500 rpm,380 Nm @ 1750 rpm,AWD,4385.0,1831.0,1608.0,5.0,64.0
1234,BMW,5-Series 520d M Sport,2017,41296,Diesel,Automatic,Mumbai,Blue,First,Individual,1995 cc,190 bhp @ 4000 rpm,400 Nm @ 1750 rpm,RWD,4899.0,2094.0,1464.0,5.0,65.0
1813,Audi,Q3 35 TDI Premium + Sunroof,2016,84700,Diesel,Automatic,Karnal,White,First,Individual,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD,4385.0,1831.0,1608.0,5.0,64.0
600,Renault,Kiger RXZ AMT,2022,4000,Petrol,Automatic,Hyderabad,White,Second,Individual,999 cc,71 bhp @ 6250 rpm,96 Nm @ 3500 rpm,FWD,3991.0,1750.0,1605.0,5.0,40.0
920,Maruti Suzuki,Estilo VXi,2008,72542,Petrol,Manual,Mirzapur,Pink,First,Individual,1061 cc,64@6200,84@3500,,3495.0,1495.0,1595.0,5.0,35.0
621,Mercedes-Benz,C-Coupe 43 AMG 4MATIC,2020,19000,Petrol,Automatic,Chennai,White,First,Individual,2996 cc,385 bhp @ 5500 rpm,520 Nm @ 2500 rpm,AWD,4693.0,1810.0,1402.0,4.0,66.0
1504,Audi,A4 2.0 TDI (177bhp) Premium,2011,75000,Diesel,Automatic,Lucknow,Silver,First,Individual,1968 cc,177 bhp @ 4200 rpm,380 Nm @ 1750 rpm,FWD,4701.0,1826.0,1427.0,5.0,63.0
1190,BMW,5-Series 520d Luxury Line [2017-2019],2018,60474,Diesel,Automatic,Coimbatore,White,First,Individual,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,RWD,4936.0,1868.0,1479.0,5.0,65.0
229,Mercedes-Benz,GLA 200 d Sport,2016,61109,Diesel,Automatic,Bangalore,Brown,Second,Individual,2143 cc,134 bhp @ 3600 rpm,300 Nm @ 1600 rpm,FWD,4424.0,1804.0,1494.0,5.0,50.0
204,Nissan,Sunny XV Diesel,2013,35000,Diesel,Manual,Kanpur,Grey,First,Individual,1461 cc,85 bhp @ 3750 rpm,200 Nm @ 2000 rpm,FWD,4425.0,1695.0,1505.0,5.0,41.0
1983,Audi,A6 35 TDI Matrix,2018,36000,Diesel,Automatic,Pune,White,First,Individual,1968 cc,190 bhp @ 3800 rpm,400 Nm @ 1750 rpm,FWD,4933.0,1874.0,1455.0,5.0,75.0
640,Volkswagen,Ameo Highline1.2L (P) [2016-2018],2017,55000,Petrol,Manual,Pune,Bronze,First,Individual,1198 cc,74 bhp @ 5400 rpm,110 Nm @ 3750 rpm,FWD,3995.0,1682.0,1483.0,5.0,45.0
239,Renault,Kwid RXT [2015-2019],2016,64000,Petrol,Manual,Mohali,Silver,First,Individual,799 cc,53 bhp @ 5678 rpm,72 Nm @ 4386 rpm,FWD,3679.0,1579.0,1478.0,5.0,28.0
1636,Mercedes-Benz,A-Class Sedan 200d,2022,3826,Diesel,Automatic,Ahmedabad,White,UnRegistered Car,Individual,1950 cc,147 bhp @ 3400 rpm,320 Nm @ 1400 rpm,FWD,4549.0,1796.0,1446.0,5.0,43.0
146,Maruti Suzuki,Swift VDi,2017,140000,Diesel,Manual,Warangal,Grey,First,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
16,Maruti Suzuki,Swift VXi [2014-2017],2019,29000,Petrol,Manual,Kolkata,Grey,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
890,Honda,Amaze 1.2 S CVT Petrol [2018-2020],2019,54000,Petrol,Automatic,Varanasi,White,Second,Individual,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,3995.0,1695.0,1501.0,5.0,35.0
462,Maruti Suzuki,Baleno Zeta 1.2,2021,22000,Petrol,Manual,Raipur,Blue,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995.0,1745.0,1500.0,5.0,37.0
1449,Hyundai,Alcazar Signature (O) 7 Seater 1.5 Diesel AT,2022,8000,Diesel,Automatic,Hyderabad,White,First,Individual,1493 cc,113 bhp @ 4000 rpm,250 Nm @ 1500 rpm,FWD,4500.0,1790.0,1675.0,7.0,50.0
1733,Hyundai,i20 Asta 1.2,2009,115000,Petrol,Manual,Coimbatore,Blue,Third,Individual,1197 cc,80@5200,112@4000,,3940.0,1710.0,1505.0,5.0,45.0
870,Porsche,Macan S [2019-2020],2020,38000,Petrol,Automatic,Ahmedabad,Blue,First,Individual,2995 cc,349 bhp @ 5400 rpm,480 Nm @ 1360 rpm,AWD,4696.0,1923.0,1624.0,5.0,65.0
1598,Hyundai,Elite i20 Sportz 1.4,2015,65000,Diesel,Manual,Ludhiana,White,Second,Individual,1396 cc,89 bhp @ 4000 rpm,220 Nm @ 1500 rpm,FWD,3985.0,1734.0,1505.0,5.0,45.0
59,Hyundai,Elite i20 Magna 1.4 CRDI [2016-2017],2016,61181,Diesel,Manual,Jaipur,White,First,Individual,1396 cc,89 bhp @ 4000 rpm,220 Nm @ 1500 rpm,FWD,3985.0,1734.0,1505.0,5.0,45.0
1471,Hyundai,Verna EX 1.6 CRDi [2017-2018],2018,73000,Diesel,Manual,Pune,Red,First,Individual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1500 rpm,FWD,4440.0,1729.0,1475.0,5.0,45.0
900,Audi,Q5 3.0 TDI quattro,2009,63300,Diesel,Automatic,Delhi,White,First,Individual,2967 cc,240@4000,500@1500,,4628.0,1879.0,1651.0,5.0,75.0
305,BMW,X5 xDrive 30d,2016,39000,Diesel,Automatic,Mumbai,White,First,Individual,2993 cc,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,AWD,4886.0,1938.0,1762.0,7.0,
1803,Hyundai,Accent Executive,2015,41273,Petrol,Manual,Mumbai,White,First,Individual,1495 cc,94 bhp @ 5500 rpm,125 Nm @ 3500 rpm,FWD,4250.0,1670.0,1370.0,5.0,45.0
1140,Maruti Suzuki,Baleno Delta 1.2,2017,34908,Petrol,Manual,Mumbai,Grey,First,Corporate,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995.0,1745.0,1500.0,5.0,37.0
398,Maruti Suzuki,Swift ZXi AMT [2018-2019],2018,8000,Petrol,Automatic,Mumbai,Blue,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,3840.0,1735.0,1530.0,5.0,37.0
693,Ford,Ecosport Titanium + 1.5L TDCi,2017,81323,Diesel,Manual,Hyderabad,Silver,First,Individual,1498 cc,99 bhp @ 3750 rpm,205 Nm @ 1750 rpm,FWD,3998.0,1765.0,1647.0,5.0,52.0
1584,Ford,Ecosport Ambiente 1.5L TDCi,2016,62591,Diesel,Manual,Mumbai,Silver,First,Individual,1498 cc,99 bhp @ 3750 rpm,205 Nm @ 1750 rpm,FWD,3998.0,1765.0,1647.0,5.0,52.0
1954,Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],2014,61866,Petrol,Automatic,Thane,White,First,Individual,1197 cc,79 bhp @ 6000 rpm,112 Nm @ 4000 rpm,FWD,3765.0,1660.0,1520.0,5.0,43.0
627,Maruti Suzuki,DZire ZXi Plus AMT,2018,42000,Petrol,Automatic,Mumbai,Blue,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,3995.0,1735.0,1515.0,5.0,37.0
1780,Maruti Suzuki,Ritz Zxi BS-IV,2013,23086,Petrol,Manual,Mumbai,Grey,First,Individual,1197 cc,85 bhp @ 6000 rpm,113 Nm @ 4500 rpm,FWD,3775.0,1680.0,1620.0,5.0,43.0
288,Hyundai,Elite i20 Asta 1.4 CRDI [2016-2017],2020,30000,Diesel,Manual,Ahmedabad,White,First,Individual,1396 cc,89 bhp @ 4000 rpm,220 Nm @ 1500 rpm,FWD,3985.0,1734.0,1505.0,5.0,45.0
1374,Hyundai,Creta 1.6 SX Plus AT Petrol,2017,50050,Petrol,Automatic,Delhi,White,First,Individual,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0
1219,Maruti Suzuki,Vitara Brezza ZDi,2018,30000,Diesel,Manual,Patna,Silver,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,3995.0,1790.0,1640.0,5.0,48.0
860,Maruti Suzuki,Alto VXi,2012,54000,Petrol,Manual,Bangalore,Bronze,First,Individual,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3620.0,1475.0,1460.0,5.0,35.0
700,Kia,Seltos HTK Plus AT 1.5 Diesel [2020-2021],2020,63000,Diesel,Automatic,Ahmedabad,White,First,Individual,1493 cc,113 bhp @ 4000 rpm,250 Nm @ 1500 rpm,FWD,4315.0,1800.0,1645.0,5.0,50.0
426,BMW,5-Series 525d Sedan,2011,61000,Diesel,Automatic,Mohali,Silver,Third,Individual,1995 cc,217 bhp @ 4400 rpm,450 Nm @ 1500 rpm,RWD,4899.0,2094.0,1464.0,5.0,
1565,Honda,Amaze 1.2 S i-VTEC,2014,65000,Petrol,Manual,Coimbatore,Silver,Second,Individual,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD,3990.0,1680.0,1505.0,5.0,35.0
1312,Maruti Suzuki,Eeco 5 STR WITH A/C+HTR [2019-2020],2018,12768,Petrol,Manual,Ahmedabad,White,First,Individual,1196 cc,73 bhp @ 6000 rpm,101 Nm @ 3000 rpm,RWD,3675.0,1475.0,1800.0,5.0,40.0
809,Maruti Suzuki,Swift DZire VXI,2014,52000,Petrol,Manual,Delhi,Silver,First,Individual,1197 cc,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3995.0,1695.0,1555.0,5.0,42.0
1081,Hyundai,Venue SX Plus 1.0 Turbo DCT,2019,28000,Petrol,Automatic,Chennai,Blue,First,Individual,998 cc,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,FWD,3995.0,1770.0,1605.0,5.0,45.0
862,Mahindra,TUV300 T8,2016,92000,Diesel,Manual,Kanpur,White,Second,Individual,1493 cc,84 bhp @ 3750 rpm,230 Nm @ 1500 rpm,RWD,3995.0,1835.0,1839.0,7.0,60.0
710,Hyundai,Creta SX Plus 1.6 CRDI Dual Tone,2015,82000,Diesel,Manual,Raipur,Red,Second,Individual,1582 cc,126 bhp @ 4000 rpm,265 Nm @ 1900 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0
25,Hyundai,i10 Sportz 1.2 AT,2008,61000,Petrol,Automatic,Pune,Black,Third,Individual,1197 cc,80@5200,111@4000,FWD,3565.0,1595.0,1550.0,5.0,35.0
1513,Hyundai,Verna SX (O) 1.6 CRDi,2017,31000,Diesel,Manual,Kolkata,White,First,Individual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1500 rpm,FWD,4440.0,1729.0,1475.0,5.0,45.0
1043,Maruti Suzuki,Wagon R LXi 1.0 CNG [2019-2020],2019,48000,CNG,Manual,Mumbai,Silver,First,Individual,998 cc,58 bhp @ 5500 rpm,78 Nm @ 3500 rpm,FWD,3655.0,1620.0,1675.0,5.0,60.0
639,Mercedes-Benz,CLA 200 D Urban Sport,2018,20000,Diesel,Automatic,Mumbai,Red,First,Individual,2143 cc,136 bhp @ 3200 rpm,300 Nm @ 1400 rpm,FWD,4630.0,1777.0,1432.0,5.0,56.0
888,Skoda,Rapid Ambition 1.6 MPI AT Plus,2014,24000,Petrol,Automatic,Mumbai,Beige,Second,Individual,1598 cc,104 bhp @ 5250 rpm,153 Nm @ 3800 rpm,FWD,4386.0,1699.0,1466.0,5.0,55.0
263,Audi,A4 2.0 TDI (143bhp),2014,15000,Diesel,Automatic,Delhi,Red,First,Individual,1968 cc,141 bhp @ 4200 rpm,320 Nm @ 1750 rpm,FWD,4701.0,1826.0,1427.0,5.0,63.0
753,Maruti Suzuki,Swift ZDi Plus,2019,80849,Diesel,Manual,Hyderabad,White,First,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3840.0,1735.0,1530.0,5.0,37.0
1652,Toyota,Fortuner 3.0 4x2 AT,2015,145000,Diesel,Automatic,Mohali,Gold,Second,Individual,2982 cc,169 bhp @ 3600 rpm,360 Nm @ 1400 rpm,RWD,4705.0,1840.0,1850.0,7.0,80.0
936,Toyota,Innova 2.4 ZX 7 STR [2016-2020],2017,30000,Diesel,Manual,Chennai,Maroon,First,Individual,2393 cc,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,RWD,4735.0,1830.0,1795.0,7.0,55.0
265,Maruti Suzuki,Wagon R LXI CNG (O),2014,82000,CNG,Manual,Lucknow,White,First,Individual,998 cc,58 bhp @ 6200 rpm,77 Nm @ 3500 rpm,FWD,3599.0,1495.0,1700.0,5.0,35.0
1908,Land Rover,Evoque HSE Dynamic,2017,25500,Diesel,Automatic,Pune,White,Second,Individual,1999 cc,177 bhp @ 4000 rpm,430 Nm @ 1750 rpm,AWD,4360.0,2120.0,1635.0,5.0,57.0
4,Mercedes-Benz,GLS 350 d,2019,53000,Diesel,Automatic,Dehradun,White,First,Individual,2987 cc,255 bhp @ 3400 rpm,620 Nm @ 1600 rpm,AWD,5130.0,1934.0,1850.0,7.0,100.0
1886,Maruti Suzuki,S-Cross Alpha 1.6,2017,114000,Diesel,Manual,Faridabad,Grey,First,Individual,1598 cc,118 bhp @ 3750 rpm,320 Nm @ 1750 rpm,FWD,4300.0,1765.0,1590.0,5.0,48.0
1814,Maruti Suzuki,Wagon R LXI CNG (O),2015,92000,CNG,Manual,Mumbai,Brown,Second,Individual,998 cc,58 bhp @ 6200 rpm,77 Nm @ 3500 rpm,FWD,3599.0,1495.0,1700.0,5.0,35.0
694,Mitsubishi,Pajero SFX 2.8,2011,40000,Diesel,Manual,Mirzapur,White,Second,Individual,2835 cc,118 bhp @ 4000 rpm,292 Nm @ 2000 rpm,AWD,4755.0,1775.0,1900.0,5.0,92.0
1249,Tata,Safari 2.2 VX 4x2 Varicor400,2021,32000,Diesel,Manual,Patna,Green,First,Individual,2179 cc,154 bhp @ 4000 rpm,400 Nm @ 1750 rpm,RWD,4655.0,1965.0,1922.0,7.0,63.0
1178,Honda,Amaze 1.5 VX i-DTEC,2019,56000,Diesel,Manual,Hyderabad,White,First,Individual,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,3990.0,1680.0,1505.0,5.0,35.0
101,Maruti Suzuki,Swift VXi [2014-2017],2019,44710,Petrol,Manual,Pune,White,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
180,Volkswagen,Polo Highline Plus 1.0L TSI,2021,24000,Petrol,Manual,Mangalore,White,First,Individual,999 cc,109 bhp @ 5000 rpm,175 Nm @ 1750 rpm,FWD,3971.0,1682.0,1469.0,5.0,45.0
1429,Hyundai,Verna Fluidic 1.6 VTVT SX AT,2015,58200,Petrol,Automatic,Navi Mumbai,Silver,First,Individual,1591 cc,121 bhp @ 6300 rpm,158 Nm @ 4200 rpm,FWD,4370.0,1700.0,1475.0,5.0,43.0
498,Maruti Suzuki,Celerio VXi AMT,2014,60116,Petrol,Automatic,Bangalore,Grey,First,Individual,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3600.0,1600.0,1560.0,5.0,35.0
1613,Mahindra,Scorpio S2,2016,42000,Diesel,Manual,Patna,White,First,Individual,2523 cc,75 bhp @ 3200 rpm,200 Nm @ 1400 rpm,RWD,4456.0,1820.0,1930.0,8.0,60.0
1282,Maruti Suzuki,Ritz Vdi BS-IV,2013,85785,Diesel,Manual,Ambala Cantt,Silver,Second,Individual,1248 cc,73 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3775.0,1680.0,1620.0,5.0,43.0
1775,BMW,X5 xDrive30d xLine,2020,29000,Diesel,Automatic,Delhi,Blue,First,Individual,2993 cc,262 bhp @ 4000 rpm,620 Nm @ 1500 rpm,AWD,4922.0,2004.0,1745.0,5.0,80.0
1268,Hyundai,Creta EX 1.4 CRDi,2019,37000,Diesel,Manual,Hyderabad,Blue,First,Individual,1396 cc,89 bhp @ 4000 rpm,220 Nm @ 1500 rpm,FWD,4270.0,1780.0,1665.0,5.0,55.0
624,Honda,City V CVT Petrol [2017-2019],2017,49013,Petrol,Automatic,Mumbai,Grey,First,Individual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0
378,Mercedes-Benz,GLC 220 d Progressive,2018,50000,Diesel,Automatic,Delhi,Blue,First,Individual,2143 cc,168 bhp @ 3000 rpm,400 Nm @ 1400 rpm,AWD,4656.0,1890.0,1639.0,5.0,66.0
832,Hyundai,Santa Fe 4 WD (AT),2013,83466,Diesel,Automatic,Jaipur,White,First,Individual,2199 cc,195 bhp @ 4000 rpm,436 Nm @ 1800 rpm,AWD,4660.0,1890.0,1760.0,7.0,70.0
1064,Hyundai,Creta SX 1.6 CRDi (O),2018,60000,Diesel,Manual,Patna,White,First,Individual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1500 rpm,FWD,4270.0,1780.0,1665.0,5.0,55.0
481,Hyundai,Creta SX 1.5 Diesel [2020-2022],2020,19700,Diesel,Manual,Mumbai,Maroon,First,Individual,1493 cc,113 bhp @ 4000 rpm,250 Nm @ 1500 rpm,FWD,4300.0,1790.0,1635.0,5.0,50.0
147,Hyundai,Elite i20 Asta 1.2,2015,61900,Petrol,Manual,Gurgaon,Silver,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3985.0,1734.0,1505.0,5.0,45.0
1339,Maruti Suzuki,Celerio X Vxi AMT [2017-2019],2017,50000,Petrol,Automatic,Dehradun,White,First,Individual,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3715.0,1635.0,1565.0,5.0,35.0
1635,Mercedes-Benz,C-Class Cabriolet C 300,2017,56000,Petrol,Automatic,Ghaziabad,White,Second,Individual,1991 cc,241 bhp @ 5500 rpm,370 Nm @ 1300 rpm,RWD,4686.0,1810.0,1409.0,4.0,59.0
365,Ford,Endeavour Titanium 3.2 4x4 AT,2019,34000,Diesel,Automatic,Delhi,Black,First,Individual,3198 cc,197 bhp @ 3000 rpm,470 Nm @ 1750 rpm,AWD,4892.0,1860.0,1837.0,7.0,80.0
1104,Honda,City CVT,2008,70000,Petrol,Automatic,Lucknow,White,Second,Individual,1497 cc,78@5500,125@2700,,4390.0,1690.0,1495.0,5.0,42.0
144,Mercedes-Benz,C-Class 220 BlueEfficiency,2013,58000,Diesel,Automatic,Bangalore,Silver,First,Individual,2143 cc,170 bhp @ 4200 rpm,400 Nm @ 2800 rpm,RWD,4596.0,1770.0,1447.0,5.0,66.0
86,Toyota,Fortuner 2.8 4x2 AT [2016-2020],2018,51000,Diesel,Automatic,Mumbai,White,First,Individual,2755 cc,174 bhp @ 3400 rpm,450 Nm @ 1600 rpm,RWD,4795.0,1855.0,1835.0,7.0,80.0
571,BMW,X5 xDrive 30d M Sport,2017,65341,Diesel,Automatic,Pune,White,Second,Individual,2993 cc,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,AWD,4886.0,1938.0,1762.0,5.0,
73,Maruti Suzuki,Swift VXi,2014,68005,Petrol,Manual,Ranchi,White,First,Individual,1197 cc,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
985,Skoda,Rapid Ambition 1.6 TDI CR MT,2019,32809,Diesel,Manual,Coimbatore,Silver,First,Individual,1598 cc,105 bhp @ 4400 rpm,250 Nm @ 2500 rpm,FWD,4386.0,1699.0,1466.0,5.0,55.0
878,Maruti Suzuki,Wagon R LXI CNG,2016,67850,CNG,Manual,Mumbai,Red,First,Individual,998 cc,58 bhp @ 6200 rpm,77 Nm @ 3500 rpm,FWD,3599.0,1495.0,1700.0,5.0,35.0
1334,Honda,City 1.5 V MT,2013,76000,Petrol,Manual,Delhi,White,First,Individual,1497 cc,116 bhp @ 6600 rpm,146 Nm @ 4800 rpm,FWD,4440.0,1695.0,1485.0,5.0,42.0
1799,Maruti Suzuki,Baleno Zeta 1.3,2016,68921,Diesel,Manual,Hyderabad,Red,First,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3995.0,1745.0,1500.0,5.0,37.0
1763,Mahindra,Scorpio S2,2018,41000,Diesel,Manual,Patna,Blue,First,Individual,2523 cc,75 bhp @ 3200 rpm,200 Nm @ 1400 rpm,RWD,4456.0,1820.0,1930.0,8.0,60.0
1398,Maruti Suzuki,Swift VDi,2014,141334,Diesel,Manual,Pune,White,Second,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
630,Maruti Suzuki,Vitara Brezza ZDi,2017,75000,Diesel,Manual,Ambala Cantt,White,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,3995.0,1790.0,1640.0,5.0,48.0
1402,Mercedes-Benz,E-Class E 350 d Exclusive [2017-2019],2019,42079,Diesel,Automatic,Pune,Silver,First,Individual,2987 cc,255 bhp @ 3400 rpm,620 Nm @ 1600 rpm,RWD,5063.0,1860.0,1494.0,5.0,80.0
1948,Maruti Suzuki,Swift VXi,2014,75000,Petrol,Manual,Mohali,White,First,Individual,1197 cc,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
